id,Population,Area (km2),Population/km2,ESA (000s),JSA (000s),IS (000s),Total (000s),% on benefits,People on benefits/km2
E14000760,142892,16,8931,1.15,3.61,1.06,5.82,4.073006186,364
E14000761,111904,32,3497,1.31,4.76,1.08,7.15,6.389405204,223
E14000762,139798,395,354,1.39,5.74,0.9,8.03,5.74400206,20
E14000763,114886,7,16412,1.58,5.89,1.46,8.93,7.772922723,1276
E14000764,117979,7,16854,1.71,5.66,1.17,8.54,7.238576357,1220
E14000765,83308,49,1700,1.33,3.9,1.23,6.46,7.754357325,132
E14000766,97832,164,597,0.92,3.4,0.71,5.03,5.141467005,31
E14000767,81746,621,132,0.26,1.29,0.11,1.66,2.0306804,3
E14000768,114193,9,12688,0.82,4.18,0.75,5.75,5.035334915,639
E14000769,99002,233,425,0.77,3.22,0.66,4.65,4.696874811,20
E14000770,128847,28,4602,0.71,2.76,0.71,4.18,3.2441578,149
E14000771,91608,33,2776,1.76,5.17,1.37,8.3,9.060344075,252
E14000772,96759,25,3870,1.72,5.18,1.56,8.46,8.74337271,338
E14000773,86685,31,2796,1.45,5.66,1.56,8.67,10.0017304,280
E14000774,91368,43,2125,0.54,2.31,0.43,3.28,3.589878294,76
E14000775,105329,54,1951,2.27,8.2,0.98,11.45,10.87070038,212
E14000776,89637,490,183,0.62,3.3,0.34,4.26,4.752501757,9
E14000777,150241,41,3664,2.84,8.03,2.57,13.44,8.945627359,328
E14000778,99059,34,2914,1.89,5.34,1.52,8.75,8.833119656,257
E14000779,93044,39,2386,0.74,3.27,0.84,4.85,5.212587593,124
E14000780,85959,62,1386,0.39,2.08,0.46,2.93,3.408601775,47
E14000781,93865,30,3129,1.57,5.38,1.36,8.31,8.853140148,277
E14000782,115536,23,5023,1.11,4.95,0.65,6.71,5.807713613,292
E14000783,125622,21,5982,1.36,5.65,1.02,8.03,6.39219245,382
E14000784,107185,29,3696,1.91,6.18,0.97,9.06,8.452675281,312
E14000785,104590,67,1561,0.93,4.74,0.8,6.47,6.186059853,97
E14000786,92234,373,247,0.53,2.56,0.33,3.42,3.707960188,9
E14000787,110950,15,7397,1.59,4.2,1.31,7.1,6.399278954,473
E14000788,114813,16,7176,1.59,4.4,1.38,7.37,6.419133722,461
E14000789,124785,12,10399,1.69,4.62,1.54,7.85,6.290820211,654
E14000790,110860,15,7391,0.88,3.22,1.08,5.18,4.672559986,345
E14000791,95275,329,290,0.55,2.38,0.25,3.18,3.337706639,10
E14000792,110863,64,1732,1.29,4.91,1.11,7.31,6.593723785,114
E14000793,128543,33,3895,1.61,7.63,1.39,10.63,8.26960628,322
E14000794,92015,20,4601,2.18,8.54,1.05,11.77,12.79139271,589
E14000795,93941,17,5526,1.33,5.84,1.3,8.47,9.016297463,498
E14000796,91750,21,4369,1.81,7.01,0.96,9.78,10.65940054,466
E14000797,107171,131,818,0.62,3.38,0.4,4.4,4.105588265,34
E14000798,98276,1402,70,0.94,4.23,0.54,5.71,5.810167284,4
E14000799,85587,1555,55,0.39,2.01,0.31,2.71,3.166368724,2
E14000800,102996,19,5421,0.99,3.17,0.78,4.94,4.796302769,260
E14000801,120175,56,2146,1.29,4.28,1.19,6.76,5.625130019,121
E14000802,93604,302,310,0.42,2.66,0.36,3.44,3.675056622,11
E14000803,105225,183,575,0.39,1.59,0.36,2.34,2.22380613,13
E14000804,107472,224,480,0.84,2.7,0.56,4.1,3.814947149,18
E14000805,99906,56,1784,0.78,3.92,0.54,5.24,5.244930234,94
E14000806,90683,433,209,0.5,1.98,0.34,2.82,3.109733908,7
E14000807,154244,28,5509,2.39,8.16,1.61,12.16,7.883612977,434
E14000808,119145,17,7009,1.58,6.16,1.35,9.09,7.629359184,535
E14000809,101465,19,5340,0.82,3.84,0.59,5.25,5.174197999,276
E14000810,107435,77,1395,1.37,5.84,0.96,8.17,7.604598129,106
E14000811,93154,402,232,0.46,1.84,0.26,2.56,2.748137493,6
E14000812,110362,146,756,1.5,3.8,1.04,6.34,5.744730976,43
E14000813,109836,458,240,0.43,1.7,0.29,2.42,2.203284897,5
E14000814,84881,92,923,0.38,1.92,0.2,2.5,2.94529989,27
E14000815,82527,180,458,0.42,1.68,0.25,2.35,2.847552922,13
E14000816,104705,760,138,0.56,2.92,0.38,3.86,3.68654792,5
E14000817,111616,188,594,0.36,2.12,0.21,2.69,2.410048739,14
E14000818,99582,441,226,0.62,2.68,0.37,3.67,3.685404993,8
E14000819,95665,30,3189,2.49,6.51,2.31,11.31,11.82250562,377
E14000820,93266,200,466,1.47,4.29,1.09,6.85,7.344584307,34
E14000821,130747,229,571,1.03,3.33,0.96,5.32,4.068927012,23
E14000822,133732,80,1672,1.29,4.18,0.99,6.46,4.830556636,81
E14000823,107213,16,6701,1.02,3.04,0.89,4.95,4.616977419,309
E14000824,96591,369,262,0.33,1.79,0.24,2.36,2.443291818,6
E14000825,90403,321,282,0.64,3.46,0.26,4.36,4.822848799,14
E14000826,98348,69,1425,0.67,3.37,0.53,4.57,4.64676455,66
E14000827,93510,416,225,0.56,2.28,0.17,3.01,3.218907069,7
E14000828,85726,361,237,0.31,2.02,0.21,2.54,2.9629284,7
E14000829,103422,702,147,0.73,3.14,0.51,4.38,4.235075709,6
E14000830,110423,597,185,0.57,2.16,0.35,3.08,2.789273974,5
E14000831,102536,24,4272,1.41,4.98,1.08,7.47,7.285246157,311
E14000832,101480,20,5074,1.21,4.43,0.89,6.53,6.434765471,327
E14000833,92462,71,1302,0.94,3.35,0.38,4.67,5.05072354,66
E14000834,93600,81,1156,0.75,3.8,0.46,5.01,5.352564103,62
E14000835,89620,209,429,0.66,3.06,0.3,4.02,4.485605892,19
E14000836,111203,86,1293,1.54,5.9,0.97,8.41,7.562745609,98
E14000837,91451,1210,76,0.68,3.34,0.35,4.37,4.77851527,4
E14000838,94615,1105,86,0.67,3.26,0.33,4.26,4.502457327,4
E14000839,98565,881,112,0.49,2.07,0.26,2.82,2.861056156,3
E14000840,88002,104,846,1.23,4.41,0.91,6.55,7.443012659,63
E14000841,114006,543,210,0.57,2.16,0.45,3.18,2.789326878,6
E14000842,118157,725,163,1.13,4.47,0.45,6.05,5.120306033,8
E14000843,91702,228,402,0.72,3.53,0.54,4.79,5.223441146,21
E14000844,99289,401,248,0.32,1.31,0.22,1.85,1.863247691,5
E14000845,99834,502,199,0.62,2.08,0.45,3.15,3.155237695,6
E14000846,93289,322,290,0.32,1.67,0.1,2.09,2.24034988,6
E14000847,88850,1456,61,0.46,2.18,0.29,2.93,3.297692741,2
E14000848,86710,755,115,0.47,2.76,0.24,3.47,4.001845231,5
E14000849,108046,935,116,0.69,3.14,0.4,4.23,3.914999167,5
E14000850,101628,232,438,0.33,2.09,0.21,2.63,2.587869485,11
E14000851,111308,106,1050,0.77,2.83,0.28,3.88,3.485823121,37
E14000852,97916,142,690,1.15,4.03,1,6.18,6.311532334,44
E14000853,103767,45,2306,1.5,4.96,1.34,7.8,7.516840614,173
E14000854,91681,266,345,0.83,3.04,0.45,4.32,4.711990489,16
E14000855,131985,746,177,1.12,3.99,0.49,5.6,4.242906391,8
E14000856,93772,701,134,1.16,4.32,0.82,6.3,6.71842341,9
E14000857,105821,589,180,0.55,2.31,0.27,3.13,2.957825006,5
E14000858,98644,279,354,0.68,2.79,0.26,3.73,3.781274076,13
E14000859,97522,874,112,0.79,3.8,0.35,4.94,5.065523677,6
E14000860,92755,714,130,0.44,1.64,0.22,2.3,2.479650693,3
E14000861,88943,22,4043,0.93,2.95,0.77,4.65,5.228067414,211
E14000862,101295,33,3070,1.08,4.26,0.99,6.33,6.249074485,192
E14000863,89321,36,2481,0.79,3.72,0.56,5.07,5.676156783,141
E14000864,103534,30,3451,0.98,4.95,0.65,6.58,6.355400158,219
E14000865,108161,19,5693,1.58,6.37,2.25,10.2,9.430386184,537
E14000866,100402,23,4365,2.68,6.71,1.95,11.34,11.29459573,493
E14000867,116719,33,3537,1.14,4.25,1.3,6.69,5.731714631,203
E14000868,92448,83,1114,1.05,3.7,0.7,5.45,5.895205954,66
E14000869,89409,25,3576,0.55,1.77,0.32,2.64,2.95272288,106
E14000870,105520,104,1015,1.25,4.57,0.73,6.55,6.207354056,63
E14000871,106695,31,3442,1.32,5.34,0.86,7.52,7.048127841,243
E14000872,91791,79,1162,0.74,1.92,0.38,3.04,3.311871534,38
E14000873,128847,31,4156,0.96,3.79,0.61,5.36,4.159972681,173
E14000874,110326,129,855,0.44,1.96,0.27,2.67,2.42010043,21
E14000875,90588,169,536,0.84,4.16,0.55,5.55,6.12663929,33
E14000876,88943,294,303,0.56,2.76,0.56,3.88,4.362344423,13
E14000877,82256,3134,26,0.28,2.17,0.18,2.63,3.197335149,1
E14000878,122459,175,700,1.6,5.75,0.74,8.09,6.606292718,46
E14000879,94047,34,2766,1.37,4.84,0.74,6.95,7.38992206,204
E14000880,114972,23,4999,1.36,6.8,1.58,9.74,8.471627875,423
E14000881,98650,41,2406,0.64,2.9,0.5,4.04,4.095286366,99
E14000882,158609,12,13217,1.89,5.26,1.32,8.47,5.340176156,706
E14000883,101271,43,2355,1.14,3.31,0.61,5.06,4.996494554,118
E14000884,113561,17,6680,1.29,4.53,1.1,6.92,6.093641303,407
E14000885,96568,27,3577,1.33,5.61,0.98,7.92,8.201474609,293
E14000886,91558,55,1665,0.52,2.23,0.42,3.17,3.462286201,58
E14000887,95695,13,7361,0.75,2.44,0.61,3.8,3.97094937,292
E14000888,100664,119,846,0.4,1.75,0.28,2.43,2.413971231,20
E14000889,113080,28,4039,0.67,2.48,0.73,3.88,3.431199151,139
E14000890,104644,51,2052,1.05,3.2,0.8,5.05,4.825885861,99
E14000891,86871,79,1100,1.72,4.61,1.47,7.8,8.97883068,99
E14000892,90591,149,608,0.88,2.88,0.61,4.37,4.823878752,29
E14000893,105429,112,941,0.47,2.32,0.33,3.12,2.959337564,28
E14000894,98623,633,156,0.3,2.52,0.29,3.11,3.15342263,5
E14000895,109504,2078,53,0.39,2,0.15,2.54,2.319549971,1
